assessmentId,internalTaxonId,scientificName,code,name,stressCode,stressName,ancestry,ias,internationalTrade,scope,severity,text,timing,virus
61524825,35154,Juglans californica,2.3.4,Scale Unknown/Unrecorded,1.1|1.2|2.3.7,Ecosystem conversion|Ecosystem degradation|Reduced reproductive success,,,,Unknown,Unknown,,Ongoing,
61524825,35154,Juglans californica,11.1,Habitat shifting & alteration,1.1|2.2,Ecosystem conversion|Species disturbance,,,,Minority (<50%),Unknown,,Future,
61524825,35154,Juglans californica,4.1,Roads & railroads,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Rapid Declines,,Ongoing,
61524825,35154,Juglans californica,7.1.1,Increase in fire frequency/intensity,1.2|2.2,Ecosystem degradation|Species disturbance,,,,Unknown,Unknown,,Ongoing,
61524825,35154,Juglans californica,1.3,Tourism & recreation areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Minority (<50%),Rapid Declines,,Ongoing,
61524825,35154,Juglans californica,1.2,Commercial & industrial areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,Ongoing,
61524825,35154,Juglans californica,6.3,Work & other activities,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Majority (50-90%),Rapid Declines,,Ongoing,
61524825,35154,Juglans californica,8.3,Introduced genetic material,2.3.1|2.3.7,Hybridisation|Reduced reproductive success,,,,Unknown,Unknown,,Ongoing,
66816002,66815986,Pterocarya fraxinifolia,2.2.2,Agro-industry plantations,"","",,,,,"Slow, Significant Declines",,"Past, Unlikely to Return",
66816002,66815986,Pterocarya fraxinifolia,2.3.2,"Small-holder grazing, ranching or farming","","",,,,,Negligible declines,,Ongoing,
66816002,66815986,Pterocarya fraxinifolia,1.3,Tourism & recreation areas,"","",,,,,Negligible declines,,Ongoing,
66816002,66815986,Pterocarya fraxinifolia,7.2.9,Small dams,"","",,,,,Rapid Declines,,Future,
66816002,66815986,Pterocarya fraxinifolia,7.2.10,Large dams,"","",,,,,Rapid Declines,,Future,
66816002,66815986,Pterocarya fraxinifolia,2.1.2,Small-holder farming,"","",,,,,"Slow, Significant Declines",,Ongoing,
62019705,62019703,Juglans hindsii,8.1.1,Unspecified species,2.2,Species disturbance,,,,Unknown,Unknown,,Future,
66813465,66813463,Juglans mexicana,11.1,Habitat shifting & alteration,1.3|2.1|2.2,Indirect ecosystem effects|Species mortality|Species disturbance,,,,Unknown,"Slow, Significant Declines",,Ongoing,
66813465,66813463,Juglans mexicana,5.3.4,Unintentional effects: (large scale) [harvest],1.2|2.1,Ecosystem degradation|Species mortality,,,,Unknown,Very Rapid Declines,,Ongoing,
66813976,66813974,Juglans venezuelensis,1.3,Tourism & recreation areas,"","",,,,Unknown,Unknown,,Ongoing,
66813976,66813974,Juglans venezuelensis,1.1,Housing & urban areas,"","",,,,Unknown,Unknown,,Ongoing,
126598076,126593309,Juglans pyriformis,11.1,Habitat shifting & alteration,1.3|2.1|2.2,Indirect ecosystem effects|Species mortality|Species disturbance,,,,Unknown,"Slow, Significant Declines",,Ongoing,
126598076,126593309,Juglans pyriformis,2.1.3,Agro-industry farming,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Majority (50-90%),Very Rapid Declines,,Ongoing,
126598076,126593309,Juglans pyriformis,2.3.3,"Agro-industry grazing, ranching or farming",1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,Majority (50-90%),Very Rapid Declines,,Ongoing,
126598076,126593309,Juglans pyriformis,5.3.2,Intentional use: (large scale) [harvest],1.2|2.1,Ecosystem degradation|Species mortality,,,Unknown,Majority (50-90%),Very Rapid Declines,,Ongoing,
66813903,66813854,Juglans steyermarkii,5.3.1,Intentional use: (subsistence/small scale) [harvest],1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
66813903,66813854,Juglans steyermarkii,7.1.1,Increase in fire frequency/intensity,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
66813903,66813854,Juglans steyermarkii,2.1.1,Shifting agriculture,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
66813903,66813854,Juglans steyermarkii,1.1,Housing & urban areas,1.1|1.2|2.1,Ecosystem conversion|Ecosystem degradation|Species mortality,,,,,,,Ongoing,
61528606,30700,Juglans olanchana,1.1,Housing & urban areas,1.1|1.2|1.3|2.2,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects|Species disturbance,,,,Minority (<50%),Very Rapid Declines,,Ongoing,
61528606,30700,Juglans olanchana,5.3.2,Intentional use: (large scale) [harvest],1.1|1.2|1.3,Ecosystem conversion|Ecosystem degradation|Indirect ecosystem effects,,,Yes,Majority (50-90%),Rapid Declines,,Ongoing,
202881013,202838448,Picrodendron baccatum,2.1.4,Scale Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,"Slow, Significant Declines",,Ongoing,
202881013,202838448,Picrodendron baccatum,11.1,Habitat shifting & alteration,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Whole (>90%),Unknown,,Ongoing,
202881013,202838448,Picrodendron baccatum,11.4,Storms & flooding,"","",,,,Minority (<50%),Rapid Declines,,Ongoing,
202881013,202838448,Picrodendron baccatum,2.3.4,Scale Unknown/Unrecorded,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,"Slow, Significant Declines",,Ongoing,
202881013,202838448,Picrodendron baccatum,8.1.1,Unspecified species,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,"Slow, Significant Declines",,Ongoing,
202881013,202838448,Picrodendron baccatum,1.1,Housing & urban areas,1.1|1.2|2.1|2.2,Ecosystem conversion|Ecosystem degradation|Species mortality|Species disturbance,,,,Unknown,"Slow, Significant Declines",,Ongoing,
237729164,175698140,Dysoxylum juglans,2.2.1,Small-holder plantations,"","",,,,,,,Ongoing,
237729164,175698140,Dysoxylum juglans,2.2.2,Agro-industry plantations,"","",,,,,,,Ongoing,
237729164,175698140,Dysoxylum juglans,1.1,Housing & urban areas,"","",,,,,,,Ongoing,
237729164,175698140,Dysoxylum juglans,4.1,Roads & railroads,"","",,,,,,,Ongoing,
237729164,175698140,Dysoxylum juglans,1.3,Tourism & recreation areas,"","",,,,,,,Ongoing,
237729164,175698140,Dysoxylum juglans,2.1.2,Small-holder farming,"","",,,,,,,Ongoing,
237729164,175698140,Dysoxylum juglans,2.1.3,Agro-industry farming,"","",,,,,,,Ongoing,
