"UID","inst_short","taxon_name_accepted","acc_num","prov_type","lat_dd","long_dd","latlong_flag","latlong_det","latlong_uncertainty","geolocated_by","latlong_notes","all_locality","locality","municipality","county","state","country","latlong_country","assoc_sp","orig_source","lin_num","coll_name","coll_num","coll_year","num_indiv","germ_type","garden_loc","rec_as","notes","filename","submission_year","data_source","taxon_name","taxon_full_name_orig","taxon_full_name_concat","genus","species","infra_rank","infra_name","hybrid","cultivar","taxon_name_status","taxon_verif","inst_country","inst_lat","inst_long","inst_type","orig_prov_type","orig_acc_num","orig_num_indiv","orig_lat","orig_long","rl_category","ns_rank"
NA,"HuntingtonBG","Juglans major","136561","W",32.92637,-108.21176,"","Given in original record",NA,NA,NA,"NM 15 N of McMillen Campground |  | Grant | New Mexico | US | Tim Thibault, HBG Staff |  | 1830 | Thibault, Tim | 2019 | 32.9264 | -108.2118 | Rocky E slope between highway and creek in association with Acer negundo, Alnus, Pinus.","NM 15 N of McMillen Campground",NA,"Grant","New Mexico","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1830",2019,1,"Plant","25-N","Seed","Rocky E slope between highway and creek in association with Acer negundo, Alnus, Pinus.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136561","1","32.92637","108.21176","Least Concern","G4 (Apparently Secure)"
NA,"HuntingtonBG","Juglans major","136562","W",32.89029,-107.84307,"","Given in original record",NA,NA,NA,"Top of steep slope on Hwy 152 at Galinas Canyon |  | Grant | New Mexico | US | Tim Thibault, HBG Staff |  | 1831 | Thibault, Tim | 2019 | 32.8903 | -107.8431 | Rocky SE slope in association with Ailanthus, Pinus monophylla, Juniperus, Quercus grisea, Fallugia, Cercocarpus.","Top of steep slope on Hwy 152 at Galinas Canyon",NA,"Grant","New Mexico","US","United States of America",NA,"Tim Thibault, HBG Staff",NA,"Thibault, Tim","1831",2019,1,"Plant","25-N","Seed","Rocky SE slope in association with Ailanthus, Pinus monophylla, Juniperus, Quercus grisea, Fallugia, Cercocarpus.","HuntingtonBG","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","W","136562","1","32.89029","107.84307","Least Concern","G4 (Apparently Secure)"
NA,"ArbWespelaar","Juglans californica","21155","H",NA,NA,"","N/A (horticultural)",NA,NA,NA," |  |  |  |  | sd from tree in Flora, KAln, Germany |  |  |  |  |  |  | ",NA,NA,NA,NA,NA,"",NA,"sd from tree in Flora, KAln, Germany",NA,NA,NA,NA,1,"plant","Garden Grounds",NA,NA,"ArbWespelaar","2023","ex_situ_BG_survey","Juglans californica","Juglans californica","Juglans","Juglans","californica",NA,NA,NA,NA,"Accepted",NA,"Belgium",50.9596,4.6375,"Botanic Garden","G","21155","1",NA,NA,"Near Threatened","G3 (Vulerable)"
NA,"ArbWespelaar","Juglans major","11204","H",NA,NA,"","N/A (horticultural)",NA,NA,NA," |  |  |  |  | sd Arnold 10968-A -big Tr., (mixed with many other Juglans) |  |  |  |  |  |  | ",NA,NA,NA,NA,NA,"",NA,"sd Arnold 10968-A -big Tr., (mixed with many other Juglans)",NA,NA,NA,NA,1,"plant","Garden Grounds",NA,NA,"ArbWespelaar","2023","ex_situ_BG_survey","Juglans major","Juglans major","Juglans","Juglans","major",NA,NA,NA,NA,"Accepted",NA,"Belgium",50.9596,4.6375,"Botanic Garden","G","11204","1",NA,NA,"Least Concern","G4 (Apparently Secure)"
NA,"ArbWespelaar","Juglans microcarpa","11070","W",NA,NA,"",NA,NA,NA,NA,"Highway 118 Fort Davis to Kent, 1600m | Jeff Davis |  | TX | US | wld collected by Dirk Benoit in Texas, nr 0633J1 collected as seed on 041004 |  |  |  |  |  |  | ","Highway 118 Fort Davis to Kent, 1600m","Jeff Davis",NA,"TX","US","",NA,"wld collected by Dirk Benoit in Texas, nr 0633J1 collected as seed on 041004",NA,NA,NA,NA,1,"plant","Garden Grounds",NA,NA,"ArbWespelaar","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa","Juglans","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,"Belgium",50.9596,4.6375,"Botanic Garden","W","11070","1",NA,NA,"Least Concern","G5 (Secure)"
NA,"ArbWespelaar","Juglans microcarpa","11206","W",NA,NA,"",NA,NA,NA,NA,"Highway 118 Fort Davis to Kent, 1600m | Jeff Davis |  | TX | US | wld collected by Dirk Benoit in Texas, nr 0633J1 collected as seed on 041005 |  |  |  |  |  |  | ","Highway 118 Fort Davis to Kent, 1600m","Jeff Davis",NA,"TX","US","",NA,"wld collected by Dirk Benoit in Texas, nr 0633J1 collected as seed on 041005",NA,NA,NA,NA,1,"plant","Garden Grounds",NA,NA,"ArbWespelaar","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa","Juglans","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,"Belgium",50.9596,4.6375,"Botanic Garden","W","11206","1",NA,NA,"Least Concern","G5 (Secure)"
NA,"ArbWespelaar","Juglans microcarpa","91423","H",NA,NA,"","N/A (horticultural)",NA,NA,NA," |  |  |  |  | Nursery Waasland |  |  |  |  |  |  | ",NA,NA,NA,NA,NA,"",NA,"Nursery Waasland",NA,NA,NA,NA,1,"plant","Garden Grounds",NA,NA,"ArbWespelaar","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa","Juglans","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,"Belgium",50.9596,4.6375,"Botanic Garden","G","91423","1",NA,NA,"Least Concern","G5 (Secure)"
NA,"HuntingtonBG","Juglans californica","125398","H",NA,NA,"","N/A (horticultural)",NA,NA,NA," |  |  |  |  | Tree of Life Nu |  |  |  |  |  |  | ",NA,NA,NA,NA,NA,"",NA,"Tree of Life Nu",NA,NA,NA,NA,2,"Plant","3-NW, 6-19","Plant",NA,"HuntingtonBG","2023","ex_situ_BG_survey","Juglans californica","Juglans californica","Juglans californica","Juglans","californica",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","G","125398","2",NA,NA,"Near Threatened","G3 (Vulerable)"
NA,"HuntingtonBG","Juglans hindsii","2649","NG",NA,NA,"",NA,NA,NA,NA," |  |  |  |  | unknown |  |  |  |  |  |  | ",NA,NA,NA,NA,NA,"",NA,"unknown",NA,NA,NA,NA,1,"Plant","10","Unknown",NA,"HuntingtonBG","2023","ex_situ_BG_survey","Juglans hindsii","Juglans hindsii","Juglans hindsii","Juglans","hindsii",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden",NA,"2649","1",NA,NA,"Least Concern","G5 (Secure)"
NA,"HuntingtonBG","Juglans hindsii","136949","NG",NA,NA,"",NA,NA,NA,NA," |  |  |  |  | Conflower |  |  |  |  |  |  | ",NA,NA,NA,NA,NA,"",NA,"Conflower",NA,NA,NA,NA,150,"Plant","25-N","Plant",NA,"HuntingtonBG","2023","ex_situ_BG_survey","Juglans hindsii","Juglans hindsii","Juglans hindsii","Juglans","hindsii",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden",NA,"136949","150",NA,NA,"Least Concern","G5 (Secure)"
NA,"HuntingtonBG","Juglans microcarpa","118441","H",NA,NA,"","N/A (horticultural)",NA,NA,NA," |  |  |  |  | Woodlanders, Inc. |  |  |  |  |  |  | ",NA,NA,NA,NA,NA,"",NA,"Woodlanders, Inc.",NA,NA,NA,NA,1,"Plant","12-E1XX","Plant",NA,"HuntingtonBG","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,"United States",34.12779,-118.10944,"Botanic Garden","G","118441","1",NA,NA,"Least Concern","G5 (Secure)"
NA,"MortonArb","Juglans microcarpa","511-81","W",NA,NA,"",NA,NA,NA,NA,"7 mi east of Coldwater |  | Comanche | Kansas | United States of America | MORTON-STAFF |  | 1453 | Hedborn Jr, EA; Schulenberg, RF | 1981 |  |  | ","7 mi east of Coldwater",NA,"Comanche","Kansas","United States of America","",NA,"MORTON-STAFF",NA,"Hedborn Jr, EA; Schulenberg, RF","1453",1981,9,"Plant","Garden Grounds","seed",NA,"MortonArb","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa Berland.","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,"United States",41.80782,-88.07614,"Botanic Garden","w","511-81","9",NA,NA,"Least Concern","G5 (Secure)"
NA,"MortonArb","Juglans microcarpa","373-69","W",NA,NA,"",NA,NA,NA,NA,"from Quartz Mountain State Park |  | Greer | Oklahoma | United States of America | MORTON-STAFF |  |  | Ware, GH |  |  |  | ","from Quartz Mountain State Park",NA,"Greer","Oklahoma","United States of America","",NA,"MORTON-STAFF",NA,"Ware, GH",NA,NA,1,"Plant","Garden Grounds","seed",NA,"MortonArb","2023","ex_situ_BG_survey","Juglans microcarpa","Juglans microcarpa Berland.","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,"United States",41.80782,-88.07614,"Botanic Garden","w","373-69","1",NA,NA,"Least Concern","G5 (Secure)"
"Genesys-3416644","UKR030","Juglans hindsii","UN7500093","NG",NA,NA,"",NA,NA,NA,NA,"California |  |  |  | USA | 40 |  | 02184 |  |  |  |  | ","California",NA,NA,NA,"USA","",NA,"40",NA,NA,"02184",NA,1,"20",NA,NA,NA,NA,NA,"Genesys","Juglans hindsii","Juglans hindsii (Jeps.) Jeps.","Juglans hindsii","Juglans","hindsii",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank",NA,"UN7500093","Unknown",NA,NA,"Least Concern","G5 (Secure)"
"Genesys-3914301","UKR008","Juglans microcarpa","UN7500241","W",NA,NA,"",NA,NA,NA,NA," |  |  |  |  |  |  | 00174 |  | 1958 |  |  | ",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"00174",1958,1,"99",NA,NA,NA,NA,NA,"Genesys","Juglans rupestris","Juglans rupestris Engelm.","Juglans rupestris","Juglans","rupestris",NA,NA,NA,NA,"Synonym",NA,NA,NA,NA,"Gene/Seed Bank","110","UN7500241","Unknown",NA,NA,"Least Concern","G5 (Secure)"
"Genesys-2967884","BGR001","Juglans microcarpa","1984-JUG-MI-1","NG",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,"12",NA,NA,NA,NA,NA,"Genesys","Juglans microcarpa","Juglans microcarpa (J. rupestris)","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank",NA,"1984-JUG-MI-1","Unknown",NA,NA,"Least Concern","G5 (Secure)"
"Genesys-2967885","BGR001","Juglans hindsii","1984-JUG-HI-1","NG",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,"12",NA,NA,NA,NA,NA,"Genesys","Juglans hindsii","Juglans hindsii","Juglans hindsii","Juglans","hindsii",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank",NA,"1984-JUG-HI-1","Unknown",NA,NA,"Least Concern","G5 (Secure)"
"Genesys-2967887","BGR001","Juglans major","1984-JUG-MA-1","NG",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,1,"12",NA,NA,NA,NA,NA,"Genesys","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank",NA,"1984-JUG-MA-1","Unknown",NA,NA,"Least Concern","G4 (Apparently Secure)"
NA,"BGR001","Juglans microcarpa","1984-JUG-MI-1","U",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,1,"12) Seed medium-term",NA,NA,"",NA,NA,"FAO-WIEWS","Juglans microcarpa","Juglans microcarpa","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank","Unknown","1984-JUG-MI-1","Unknown",NA,NA,"Least Concern","G5 (Secure)"
NA,"BGR001","Juglans major","1984-JUG-MA-1","U",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,1,"12) Seed medium-term",NA,NA,"",NA,NA,"FAO-WIEWS","Juglans major","Juglans major","Juglans major","Juglans","major",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank","Unknown","1984-JUG-MA-1","Unknown",NA,NA,"Least Concern","G4 (Apparently Secure)"
NA,"BGR001","Juglans hindsii","1984-JUG-HI-1","U",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,1,"12) Seed medium-term",NA,NA,"",NA,NA,"FAO-WIEWS","Juglans hindsii","Juglans hindsii","Juglans hindsii","Juglans","hindsii",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank","Unknown","1984-JUG-HI-1","Unknown",NA,NA,"Least Concern","G5 (Secure)"
NA,"UKR030","Juglans hindsii","UN7500093","U",NA,NA,"",NA,NA,NA,NA," |  |  |  | USA | 40) Institute, Experimental station, Research organization, Genebank |  |  |  |  |  |  | ",NA,NA,NA,NA,"USA","",NA,"40) Institute, Experimental station, Research organization, Genebank",NA,NA,NA,NA,1,"20) Field collection",NA,NA,"",NA,NA,"FAO-WIEWS","Juglans hindsii","Juglans hindsii","Juglans hindsii","Juglans","hindsii",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank","Unknown","UN7500093","Unknown",NA,NA,"Least Concern","G5 (Secure)"
NA,"UKR008","Juglans microcarpa","UN7500241","W",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,1,"",NA,NA,"",NA,NA,"FAO-WIEWS","Juglans rupestris","Juglans rupestris","Juglans rupestris","Juglans","rupestris",NA,NA,NA,NA,"Synonym",NA,NA,NA,NA,"Gene/Seed Bank","100) Wild","UN7500241","Unknown",NA,NA,"Least Concern","G5 (Secure)"
NA,"KGZ034","Juglans microcarpa","No 1-203","W",NA,NA,"",NA,NA,NA,NA," |  |  |  |  | 10) Wild habitat |  |  |  |  |  |  | ",NA,NA,NA,NA,"","",NA,"10) Wild habitat",NA,NA,NA,NA,1,"20) Field collection",NA,NA,"",NA,NA,"FAO-WIEWS","Juglans microcarpa","Juglans microcarpa Berland.","Juglans microcarpa","Juglans","microcarpa",NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,"Gene/Seed Bank","100) Wild","No 1-203","Unknown",NA,NA,"Least Concern","G5 (Secure)"
